tweet,label
Odika ezigbo ala ji onye nzuzuaa aka!😒😒😒 Mtchewwwww,2
@user Obi mmadụ ga justu gbáwá!,2
"@user Aka akpaghi ha n'oge a, otu ụbọchị aka ekwensu akpara ha n'otu n'otu.",2
@user Are you still in that spirit? Kwuo ezi okwu ka ihere mee ekwensu!,2
@user @user Anuofia. Thunder gbagbuo gi ebe ahu ino you demon,2
Aunty Oby egbue mmadu 😭😂😂😂😂 https://t.co/yFbRwajMDJ,2
"@user @user @user @user @user @user @user Okwa ehh, ya bụ mmili ga agba gbukwa gị one day",2
"@user O. D. Egwu , O. T. Sumi",2
Ala Pa ala apa? Onye para ala ala apagbuo ya,2
@user @user He will argue that he has changed but anya anya ka mu na-elezi uwa na ndi bi ya n'ime.,2
#Erica and #Tolanibaj Ndị asịrị gbakaa ute! 🚶‍♂️🚶‍♂️🚶‍♂️🚶‍♂️ #BBNaija,2
@user Lolz Wetue mmuo gi nna.. ya bu ihe gwuru ike mana aga eme kwanu gini..,2
Nengi onye mgbu. https://t.co/422keSltmC,2
"@user O na ewute m. Ha me chakwa tuoro buhari owu kwa ndi no n'ulo ga kpo ndi na ru oru beke ka ha nyere ha aka. Ka mgbe Buhari batara na ochiochi obodo a, gwa m ofu mkpuru ihe o mere n'ala igbo? Ihe o ma wu i buru ndi na gba mgbo ka ha bia gbara anyi egwu eke.😠",2
@user @user @user @user @user @user @user @user @user @user @user Gbagbue gii Semi umu ikporo ogbe,2
Afurum gi na isi https://t.co/kTuNzzDNjV,2
"@user @user Nna, Obodo bu igwe.",2
@user @user @user Lol onye zuzu numba wan. Thank you!,2
Akuko gi adiro nma 😒😒😭😭 https://t.co/qe70haYsjG,2
@user Nne.. isi adirokwa gi mma o,2
@user Chai😂 ina acho onye i ga araputa😂😂,2
Oji afufu eme orji 1 of Igbo land🙌 https://t.co/GFrQ7P53Ai,2
Enyi a gtfo... Onye amụma ugha https://t.co/rwTFdnhSkB,2
@user @user @user @user Mechie önu gi biko,2
@user @user @user @user @user @user @user @user @user @user @user @user Archbishop afọ nsị..... 😁😁😂,2
@user Ike gwuru ada Igbo....no mind my tweet on post oo biko,2
Ndị ajọ obi https://t.co/11zwwyd4ap,2
Odumeje ga egbu mmadu The Sucrutum!!! https://t.co/lH8X6xLeDs,2
Miracle onye uwa oma...,2
Chineke napu ekwensu ike . Damn.😏🥴🥴🥴 https://t.co/NuWnRnLSii,2
Ndi ogbu ara obara coven agaghi afu this one. https://t.co/NvMsCa2KjI,2
"@user I swear.... E ka mụ ihe àmà, ịga áká mụ adị iberibe",2
Ndi Iwe n'ewe nya biko wegbuo ha Osuko Osuko nya biko sugbuo ha..... Iwe wegbukwa unu na anyi na su igbo 😂 #IgboInvasion #IgboTwitterCommunity,2
@user @user @user Ka m na-agwakwa gi oo. 😅,2
"@user Oga speak English, Isi ana emebi gi?",2
@user Mmadu nkea 🤣🤣🤣Ike gwuru!,2
Chukwu biko napu ekwensu Ike. https://t.co/NsPEtNMAdb,2
杨千嬅 O dikwa egwu o! ☹️,2
@user Gas gbakwa gi oku,2
@user lmao who's your baby? Isi adikwa gi mma? https://t.co/fRvWM9vW2A,2
Lord Lugard and ndaa Flora..... Chukwu kpọọ unu ọkụ ooooo https://t.co/BDBYGMTpHg,2
"Ndi Arondizuogu enyego ya, o lie, makana Pericoma na-anyi ajo alo. https://t.co/I9TD1VwX22",2
"@user @user @user @user @user @user Chisom, ịsị adịghị gị mma!",2
@user @user @user @user @user @user @user @user @user Ọ salu go ọkụ nne??,2
@user Ndi ala fa enwero problem.,2
@user Nwanne! Nsogbu dị o,2
@user @user @user Chu-wa gi onu dia,2
Ndị a bu ndi ọjọọ 🤣🤣,2
Must be nize... Ndi ara https://t.co/XbNdbA4xqJ,2
Ikechukwu onye ala https://t.co/ugzPlfZ03S,2
"@user """"""""ike akụkọ adirom"""""""" the ultimate line. Tupu Amu alaputa nwoke mmadụ. 😭",2
"The run i ran today eh, Chineke ekwekwala ihe ọjọọ 😭",2
@user @user Ndị asili gbakwa ute. 😂 😂 😂,2
"@user Nna, ike dikwa! 😂😂😂😂😂",2
@user @user @user O di egwu... Anam enyo gi enyo https://t.co/xgDSocdbKR,2
"onye ara, aturu. https://t.co/CG2Jl8lnSS",2
@user @user Kelechi; just negodu Njo ahia e kuru m boy... Ihe nke a odinma? Baba i no fit whine you. 😪,2
@user @user Ndi igbo is na ara di na udi,2
@user Taaaaaa mechie onu https://t.co/VTDe2M0b7G,2
@user Chai... Ihe nnwute 😢,2
@user @user @user @user @user @user @user @user Na afo ka nya bụ nwa nọ wa mebisia,2
@user @user Nhia bukwa mpa mmadu😔,2
@user @user Ike agwu m te! https://t.co/n4q3PgrHqw,2
@user Ọ dịkwa egwu dị anyị,2
@user Ike gwụrụ eziokwu m,2
Nsogbu e nwego problem...,2
SAVAGE NDI AKPO https://t.co/JdJy8jKW79,2
Kingsley I'm on the floor 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 Onye ala nkwo akpu 🙄 https://t.co/1ItHUixWf7,2
😂😂😂😂 correct babe...Gwa han. Ndi ara.🤣🤣 https://t.co/o5BJ6zrFvR,2
@user I swear. Odi ezi egwu.,2
@user @user Ezigbo nsogbu di!,2
Ndi obi akpo 😂😂😂😂 https://t.co/z5s5bDKxvf,2
@user @user Nsogbu. Shift lemme see road jor,2
@user @user @user @user @user @user @user @user @user Anwuola m ebe a...🤣🤣🤣,2
Guys Nsogbu dikwa #Getwet https://t.co/iverlUJJt3,2
Lol. This team.. ndi mgbu🤡,2
Nwanne ara di ebe a o https://t.co/hSOn6KroIq,2
Pink is a female colour gbuo ghi dia.. onye apari,2
"Ememe a n'ụlọ ofufe? nnọọ pathetic, mmụọ ọjọọ akwadokwa ọchịchị na Igbo ala 😔 https://t.co/3MRPMbcokG",2
@user Ike gwuru final!,2
@user @user Nna ike gwulu,2
Iberibe odi ụzọ ole ụmụnne m?,2
@user Ihere o na eme onye Ara? 😏,2
@user @user Owu ya. Lee gi lekwa relegation.,2
@user @user @user Vuru ụwa gị gawa this morning o.,2
@user Loll.. Onye obi akpo🤣🤣,2
"@user Nna, ndi a choro i nye mmadu high BP biko! Ahhh!!!",2
@user Bia Nwanyi Ichoro igbu Mmadu?,2
@user Ike gi agwula m hoha. 🤦🏿‍♂️,2
@user @user @user @user @user @user @user Ara gbachikwa gị ntị there,2
@user @user ha ga ejizi otele gi gbape borehole di omimi nwanna. 10 years borehole!,2
Onye oshi o🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/f9rkNndEWk,2
@user Ina enye ya onu Ewu gambia,2
Ewo!!! Iji ya!!! Isi gi kajad!!!😍🥺 https://t.co/FILpZft1bJ,2
Apama wu nnor onye apari🤣🤣🤣🤣 https://t.co/A4aYRFdZUX,2
@user @user Lmao. N ga tuba gi ime ofu ubosi.,2
@user @user Loòool... onye ara ibe m🙄,2
"@user Bia nwanyi aa,iga egbu mmadu ooo,uchenna ose na adi na pepper soup ooo,oya tugharia pepper soup na asusu Igbo..@user",2
@user @user Nawa oh.. We should now fear police more than robbers? Chukwu napukwa ekwensu ike,2
Imitation prophet abiakwa ozo https://t.co/PdBfZlc45u,2
@user Nwa ibiakwa nke ne ese okwu,2
@user Ina acho okwu 😭😂,2
@user Nsogbu dikwa oh😂🤣,2
@user @user Chaai 😭😭😭😭😭😭 Obi mgbawa this early morning... Mana nsogbu adiro,2
"Onye obula hapuru nke ya wee were nke onye ozo, ghotakwa na ita aka n'onu ga-aburiri nwunye di ya.",2
@user @user @user @user @user @user @user @user @user Typical Igbo woman..Ndi obi akpo,2
@user @user @user @user Ọnụ gị bụ nsi😂😂😂,2
"@user @user Nne, ike gwuru. 🙇🏽‍♂️",2
Egwu nke a ririm ọnụ biko😂😂😂 ike gwụrụ 😢 https://t.co/pgKcnIHDoD,2
@user Oga eme gi vum n'anya,2
Chukwu ekewekwana ihe ojoo. https://t.co/ODID48VKPt,2
tufiakwa onu gi. https://t.co/FDLjDMdv1X,2
@user @user @user @user @user @user Agadi zụkwanụ ike,2
@user @user Ndi na emewa m obi,2
Carrie onye ishi mgbaka!,2
@user Nekwa onye a 🙂🙂,2
"Ooh, it's actually """"""""Nwa Onye akwuna"""""""" https://t.co/fRntbY1a8o",2
@user Chineke ekweghi ihe òjòó,2
@user @user @user @user @user Mechie ọnụ osiso... https://t.co/iNpwGqp0y2,2
@user @user @user @user @user @user @user @user @user @user @user @user @user @user Isi adikwa gi mma? https://t.co/XQX2mxmDbh,2
@user @user @user @user @user @user @user 😂Lmao Chigemic ur man egbuo gi,2
@user @user Isi adikwa nu gi nma!,2
@user @user No 🧢 bro Ezigbo ndi ālā yíí ákwā,2
@user @user Agwo tagbuo gi,2
@user 🤣🤣🤣🤣 Ajo mmadu. Till dawn chaa,2
@user Next week no go bad nah.. But nsogbu bu iga aputakwa aputa,2
@user Mpuru amu nwoke mmadu atago afufu!! Lekwa ka osi jiko the thing 🤦‍♀️🙆‍♀️🤭,2
Gi na Buhari ga wu onwu ike! https://t.co/htZ0wMk9xf,2
"@user In other words, ibu akwuna ndi ocha?",2
"@user @user Zuzuru gi gbafou here olukwu, ndi grammar.",2
@user Iweputego is a problem... Amu kwanu nsogbu! 😖,2
Kitikpa aguleri sachie gi utu ohu.. Nonsense!!!! https://t.co/2pZBARCfEk,2
"Kemgbe ụwa, @user bụ go dị onye nsogbu 😂😂😂😂 https://t.co/NdStX3a3A6",2
@user Okwa nwa di ala gi oh,2
"@user @user 🤣🤪Omalicha, rapu ndi ala, o ochi isi mgbaka ka fa na achi!",2
Gasibenụ ike biko na oge adịrọzịị🙄 https://t.co/r3qSYge7U5,2
@user @user Manz wrote to EU and AU too. ONYE nzuzu,2
Afo sagbuo gi there 😡😡😡😡 https://t.co/4fy3mLJHi5,2
@user @user Taàa mechiegi onu,2
Ezigbo mad o https://t.co/xuxeHj2o3i,2
"@user Ahhhhhhhh, nsogbu ga adi",2
@user Iberibe dị obodo anyị dị egwu...,2
Buhari di busy na ebughari Ndi mmadu https://t.co/7PGBMWLn9W,2
@user Taa gbafuo gi there 😂😂,2
Nne rie nsị..... Chukwu kpọọ gị ọkụ https://t.co/peBqmNqdhJ,2
@user 😂😂 Ndị ọsọ chi egbu 😁,2
LOL Wike is a true Obio Akpo man! No joy 😄 https://t.co/d5xTP6kSJP,2
"@user Fret not, he won’t do nada. Umu uwa nka sef🙄🙄",2
@user Umu nwoke 042 adahi agba nbo,2
@user @user Nna Ike agwugo m,2
"@user @user Health, Country, Emotion.. Ike gwuru",2
@user Gbajie onu anyi 😍😍😍😍😍😍,2
@user Ezemuo ina acho okwu.,2
@user 😂😃😂 ... ezigbo ndi ala,2
This 1 weak me...Love gi gbakwa-oku der. https://t.co/EOaWyys4TV,2
@user Onye obere okwukwe...,2
"@user God: Mgbe ina agbawa ụmụ nwanyị obi i marọ! Infact, Oge rie nsị!",2
@user Plenty money gbukwa gi dia,2
@user @user Afo ezi di ka gi,2
Una don see am abi? Onye nzuzu https://t.co/frZMuIYPSV,2
@user @user @user 😁 Ọkwa maka una ka ụmụ nwoke ji egbu onwe ha,2
"@user Hmmmmm, ọdịkwa egwu",2
@user @user @user Bia enyi kpachara onwe gi o,2
@user @user @user Ike ụnụ n'abo agwụgom. 😂😂😂,2
Negodi nnọọ ka ụmụ nwanyị ndị ugwu jị asụsụ Hausa na eme mpako na ngara. Ndị nke ọdịda anyanwụ ejiri poorly combined tenses a form ihe mmadụ amaghị isi ya Ike gwụrụ,2
"Emi phyno, baba ibo, baba obagu kinma ladi, kinma jedi, abacha- nonsense M n’aracha gi,i bu ube? See Eba puo osiso!",2
@user @user @user @user @user @user @user nsogbu ga di,2
@user @user @user @user Oge a diro ooo😄😄😄😄,2
@user @user Onye ara. Isi gi ozugo,2
"@user @user @user @user @user @user Mgbe oge luru kita, i na tagheli onu...",2
@user @user @user Shebi after you wee say i get ajo onu.. Okwa ifugo ndi ji ya akwu ugwo ulo,2
@user @user @user @user Zuo ike akwuna ọkụ,2
@user Lol. Ndi mmadu na ezuzu ezuzu,2
@user @user Mmechi kene onu biko,2
@user 25 gbuo gị there🤣🤣🤣,2
Oringo gbukwe gi 😂,2
Uchu Kitikpa lachapu gi Anya Nkita rifokwa gi nsi Anuofia https://t.co/vIjY8SPJs3,2
"@user A na ekwu na 24 hrs ezuro, nke a na asi holiday! Nkita ya fu alacha gi anya. https://t.co/hUvHcJ1LRp",2
@user Onye ara nkwo agu😂😂😂,2
Negodu mummy mmadu https://t.co/lFLhSZqx6J,2
@user @user @user @user @user @user @user O nwere uche ma oli,2
Iberibe na enye onye ara mora,2
@user Lol. Ndi ara juru ebe niile.,2
Kitikpa! Thunder! Nya eh! Egbe eli igwe eh Afo osisa! Isi nkwocha! Maka chukwu eh! 😭😭😭😭 https://t.co/iLr08rsUck,2
@user @user @user @user @user @user @user Ndia dị mma ikpuru kpọchie one time,2
@user Ekpele onye mmiri na eli 😂🤣,2
@user Ekwensu kpuo ụnụ ọkụ there!,2
"@user @user @user Eziokwu, mana nkita si Na anu gbakaria ya n'oso ome onu ka anaghi eri ya eri. 😂😂 So nna, kam fichaa onu na nkea😝",2
@user Odogwu kugodu gi ngwuro 😭😭😂😂,2
@user @user @user Ụmụ ọgwụgwụ oge ọjọọ!,2
@user Aji onu ka brush ndi awusa 😂.,2
@user @user @user Nsogbu dikwa here...,2
@user Ndi ogwu ego 😭😭😭,2
"Ezigbo ohere igwa gi n'iberibe gi n'atu ndi mmuo ujo. Ike gwuru, okpara mmadu na etiziri ndi okpo ntu mkpu?? 😢😭😱😨 https://t.co/wDTwFnGMMF",2
"@user Ngwa nu, ike agwu go'm. Gbazie shot nke gi.",2
"@user Clowns in government! Rụọ ụzọ, mba! Mana ị ga etinye ụgbọala maka ndị ga-ama Ekeresimesi 🙆‍♂️. Biko kedụ onye anyị mejọlụ?🤷‍♂️",2
Ala gbabuo gi there.,2
"@user @user Nwanne igbu go'm 😂😂, electric shock nke ana ekwu ifa bụ nke si na high tension wire ndị PHCN 😂😂",2
@user @user Haha. Ezigbote onye mgbu. Odi ya na aru,2
@user @user @user Iwe gi adịna annoyed!😂,2
@user @user @user @user @user @user @user @user Due respect ahu jidekwa gi,2
@user Amakwam 🤷🏽‍♀️. Ihe’m ma bu Na o buro’m.,2
@user Akwụna ọkụ! Tụfịakwa!!,2
@user @user @user Odi egwu. He wants all😂😂🤣,2
@user @user Professional akwuna chi ụmụ,2
"@user @user Na craze de worry, ndi gentleman aputa",2
@user E better mature maka Chineke nna ikpo ya oku 😠😠😠,2
Lee kwa gi Lee kwa onwu. https://t.co/HQQtmdiR7G,2
@user Mechie onu ooo,2
@user Anuofia Nkita racha gi ike Idi ka ezi bida Nwa ogwugwu oge,2
@user Chukwu onye okike ole mgbe?,2
@user @user @user I malu akpu I lie 😂😂😂,2
@user @user @user @user @user @user @user @user @user @user Friend ahu gbuo gi pliss,2
"#Repost dancegathering with @user ・・・ #Instructor - Onye Ozuzu is a dance administrator,… https://t.co/NvLho6vZtN",2
Wait o🙄😏😏😏 Una dey attack @user ? Thunder afo osisa gbagbuo unu n'ile. Ndi Anumanu🙄😏,2
"Bikonu lekwa’m, lekwa nsogbu. How will you be fighting the one that is not fighting you?💀😂 Cheta na ndu bukwa n’otu isi onye obula, biko. Udo.",2
@user 😂 😂 nke awụsa ka ọ nke Igbo?,2
@user @user @user @user @user @user @user @user @user @user O bu iti! Ezigbo iti boribo!,2
Mmadu atogokwa n’ obodo a @user @user @user @user https://t.co/ALeQcuam0T,2
"@user @user Mbakwa, Chaa Chaa nke a buzi nwa ewu 🙄",2
"Aunty Ogoo, ole mgbe o 🤷🏾‍♂️ https://t.co/hyFYkVq206",2
"CeeCee, mechie onu nsi gi.",2
@user @user @user @user Odị egwu really,2
@user @user 😂😂😂😂😂 Akụkọ a nwee ka ọ dị. Chei!,2
₦200 okirika😢😢.. Ekwensu aburi ezigbo mmadụ at all.,2
@user @user @user @user @user @user @user Nwoke nwafia zukwanu ike,2
@user @user Ike gwu. 😂😂 nwata achoro biko. Ndi ala erika ebea,2
@user Onye nkem. Ndi mmadu dinno nzuzu,2
@user Kedụ ebe ịnọ akwuna a🙄,2
@user Onye bu isi shampoo? 😂😂😂😂😂,2
"Indeed; """"""""Iberibe na enye onye isi adiro morale!""""""""🤣 Lee ka oji """"""""phoney"""""""" na ezu oshi! 😂🤣🤣🤣 Leemaoo https://t.co/OjagZeyvJE",2
Mpa gị na mma gị bụ ọkpọ nsị. Gịwa bụ nsị anụ ọhịa. if you don't understand mine u might as well be mute imbesilas https://t.co/pcgQcZl7jI,2
Ihere amaghị eme ụnụ https://t.co/AyCFLupD38,2
🥺🥺🥺 chineke mgbe olee? https://t.co/HsJUA5jzwG,2
Ọ di egwu ọ.. https://t.co/SZgkXgDBiH,2
@user Ike gwuru nna 😁,2
@user @user @user @user @user @user @user Nna o gwuru m Ike.,2
"@user Ọkwa coro, Chineke kpọ ya ọkụ. Ọkwa ikwesị nye ndị boys mmanya kanyi laa",2
@user @user @user @user @user @user @user @user @user @user Isi gị ebe ahu. Which afo,2
@user @user @user @user @user @user @user @user @user Ndi ana aria ka afo osisa 😓,2
@user Ka anyi ga ra otu 😂😂😂,2
"Men ra gi ihe aga ara gị otele èkpè re gị ọkụ, you will know that ikpu tighter doesn't tighten anything",2
@user 1) No facilities 2) Odikwa risky,2
@user Men's respect gbakwaa oku,2
@user @user @user @user Si ebea puo jee choo akaraka gi 😂,2
@user @user @user @user Nna gi bu onye Ara. Idiot.,2
@user @user Loll.. Dị uru dịka gi🤣🤣🤣,2
@user @user @user Nkịta pikwa gị ọṅụ ebe ahu,2
"@user Dokita o n'eme dreads?? Odika icho ka'm bia dia, ji aka'm kpuo the isi🙄🙄🙄",2
@user Eze n'aghogbu ndi ona achi😀😀,2
@user Kester... Nri bụ ihe ga-egbu gi,2
@user @user 😂😂😂 Isi gbari gi mehn,2
@user The thing dị egwu!,2
@user Mtcheew nke gi😌😌😌,2
@user Ezigbo nonsense o nne 😂😁,2
Ike clearance adiro taata biko,2
@user @user Taaaa!!! Anụ ulo... Gbafuo gị there!!!!,2
Bros Ike gwuru🙆🙆🙆🤦🤦🤦🤦 https://t.co/usorkVleBa,2
"@user Ọ di ezigbo mkpa. The afufu aka agwuro, mana ọ ka nma ịnọ na AC na ebe na Buhari egbugo madu. 😂 Life bụ stage and turn by turn.",2
"😂🤣🤣🤣😂🤣Na ihe niile na-eme na Nigeria, bụ ihe zuru ezu iji gbaa ọsọ🤣😂😂 https://t.co/Kg50LZB3fK",2
@user Odi egwu really 😂😂😂,2
Mechie onu osiso Ogbunigwe dika gi https://t.co/LiD9VN2C6e,2
"“Ndi alaa,” I go dey ghost mode 😎 https://t.co/dWrh82T3DH",2
@user hapụ ndị ara ahụ,2
@user @user Ihe ojoo na ato ochi,2
"@user Akwụrụ ọtọ tụba nwanyi ime, omụọ onye ala. Nwa ewu gbuo ikpere n'ala, ọñụlụ ala #IgboProverbFriday",2
@user No. I'm broke Chukwu,2
Ichi gosi uwa n'cha ara gi? https://t.co/seidTwlBTZ,2
@user @user Taa!! Weré nzuzu gi ga one side biko,2
@user Civil gbuo gi dere https://t.co/l82ufAsN22,2
‘Talking stage’ gbakwa oku...😁 https://t.co/pIKGvLeL3T,2
"@user Oge adiro, nwanne... Odigo di, refree ga egbulu gi time up. 😂",2
O di Egwu 👀💁🏿‍♂️😊 https://t.co/ii0lHukqvk,2
"@user @user Sii ebea puo kitia o, agam awukwagi mmili oku o",2
Chukwu ekwele ihe ojuo (meaning God forbid). https://t.co/BRX4272VvK,2
"@user 😁Asin eh, ike gwuru",2
Okwu na Uka https://t.co/S5FQNn4VEa,2
Hey nedu igbuola onwe gi😜 https://t.co/z5f7KzLIx3,2
@user Onye isi mmebi,2
@user Nnaa ike kwuluu oto gwụ the guy 😂😂,2
Okwa ara 🤷‍♂️ 🙄🙄🙄 Good morning gbu gi there https://t.co/Ck9M5KB52f,2
Iburu chi gi uzo igba gbuo onwe gi na oso https://t.co/Sh9wxBIeVS,2
@user @user @user @user @user 😂😂😂😂😂😂😂😂😂😂😂 Just lookat nwa izuzu mmadụ 😂😂😂,2
@user @user Isi gi no?🤷🤣🤣🤣,2
Aga aju Onye? Na who go confirm? https://t.co/2knJNRONHe,2
"Hope u muttered in Igbo """"""""Ara sa wa go onu gi"""""""" https://t.co/SmGLOmqEU2",2
@user Gbam i jie. Ndi owu ite na cho ka owu saba onye obula ka osi asa ha. Ndi ara!,2
@user Iburo ezigbo mmadu atall,2
Chukwu ekwela Ihe ojoo. Tufia https://t.co/X1cCV4dga3,2
"@user @user Nne rapu ndi ara, ndi uchu,ndi ogbeyin,ndi nzuzu😂 Set Awon bambiala",2
@user @user Rapu onye ara ahu,2
@user @user @user Ara GBA gbuo gi dia😏😏😏 El porina😂,2
@user @user Chai! Lekwa ndi mmadu na asi!!! 🙆🙆🙆,2
@user @user No mind am... Okwa ndi oso Chi egbu o,2
"Nsogbu di, suo asusu gi 😂😂😂😂 https://t.co/XDtNvTC3OW",2
"No be una again, Fear women oh☹️Tufiakwa maka IPhone 11, oluzie Hushpuppi unu achawa ya mma n’olu https://t.co/3hO471IJJK",2
Kitikpa lacha gi anya there. Agafu 😩 https://t.co/smeq0sOvUH,2
Akonuche gi di in shambles😁 na koeri ka onye eberibe😁 choke on your 🌶🌶🌶🌶 bye dingbat😁 https://t.co/Yk8gg5WwwL,2
Ike unu agwugo'm 🤦‍♂ https://t.co/SrYg3T96Z2,2
@user @user Lmaoo odi egwu!,2
Kaii Onye nsogbu https://t.co/3rRZMYUdkD,2
Hahaahhaha!! Onye ori!! https://t.co/xW3D4GagMn,2
@user @user @user @user @user @user That one knw zodiac too😌 Skills o ji araputa umu nwaanyi😌 Akwuna nwoke https://t.co/bqowr4zdct,2
Yigbuo kwaa onwe gị na slippers there idiat! Slippers yirikwa go😂😂😂😂 https://t.co/JJGC0PhzHN,2
"Nne eh,ndi mmadu dikwa nno iberibe!!",2
Troopz onye ala😂,2
@user @user Onye ahu ana apu ala,2
@user @user @user @user @user @user @user @user @user @user Win Gịnị?? Ahụ adịkwa onyea?,2
Mechie onu there! https://t.co/gMqQfGZgUb,2
onye iwe na ewe ya biko wegbuo ya.... SELENSE https://t.co/SHhbiJ7Upx,2
@user @user @user Akwuna chi ụmụ 🙄🙄🙄 Ifurozi,2
Omenana n’ese okwu,2
Ara di na onye obula na this place,2
@user 😂😂... just add “gbagbuo gi”,2
Chineke napukwa ekwensu ike! Tufiakwa! https://t.co/7YSAPdOBHV,2
Lia isi agbakaa go gi👾 https://t.co/f5YzO6okoi,2
Nsogbu Umu Uwa.... Hmmm oo!!,2
@user Okpukpu gbadokwaa gi dia. Nwa ewu di ka gi.,2
